date,workout_type,duration_min,distance_km,calories,avg_heart_rate
2026-03-04,Strength,58,,348,135.0
2026-03-05,Rest,0,,0,
2026-03-06,Strength,46,,276,131.0
2026-03-07,Rest,0,,0,
2026-03-08,Rest,0,,0,
2026-03-09,Rest,0,,0,
2026-03-10,Yoga,30,,90,82.0
2026-03-11,Run,50,8.38,500,153.0
2026-03-12,Walk,61,5.12,244,113.0
2026-03-13,Run,28,4.7,280,154.0
2026-03-14,Walk,74,6.22,296,90.0
2026-03-15,Walk,76,6.39,304,91.0
2026-03-16,Run,43,7.24,430,162.0
2026-03-17,Strength,45,,270,110.0
2026-03-18,Strength,42,,252,140.0
2026-03-19,Yoga,60,,180,86.0
2026-03-20,Rest,0,,0,
2026-03-21,Rest,0,,0,
2026-03-22,Strength,51,,306,128.0
2026-03-23,Strength,50,,300,127.0
2026-03-24,Cycling,49,16.61,392,124.0
2026-03-25,Yoga,58,,174,104.0
2026-03-26,Rest,0,,0,
2026-03-27,Strength,60,,360,112.0
2026-03-28,Strength,56,,336,119.0
2026-03-29,Run,30,5.1,300,174.0
2026-03-30,Strength,71,,426,115.0
2026-03-31,Yoga,43,,129,80.0
2026-04-01,Strength,42,,252,116.0
2026-04-02,Strength,52,,312,114.0
2026-04-03,Rest,0,,0,
2026-04-04,Run,41,7.01,410,159.0
2026-04-05,Rest,0,,0,
2026-04-06,Run,54,9.25,540,149.0
2026-04-07,Run,25,4.28,250,145.0
2026-04-08,Walk,27,2.32,108,96.0
2026-04-09,Walk,89,7.64,356,113.0
2026-04-10,Rest,0,,0,
2026-04-11,Cycling,68,23.38,544,127.0
2026-04-12,Walk,61,5.25,244,114.0
2026-04-13,Run,25,4.31,250,143.0
2026-04-14,Strength,71,,426,124.0
2026-04-15,Run,37,6.38,370,169.0
2026-04-16,Cycling,73,25.21,584,128.0
2026-04-17,Run,54,9.33,540,143.0
2026-04-18,Rest,0,,0,
2026-04-19,Run,52,9.0,520,147.0
2026-04-20,Run,21,3.64,210,155.0
2026-04-21,Walk,27,2.34,108,98.0
2026-04-22,Run,34,5.9,340,160.0
2026-04-23,Rest,0,,0,
2026-04-24,Rest,0,,0,
2026-04-25,Yoga,35,,105,97.0
2026-04-26,Walk,32,2.78,128,113.0
2026-04-27,Yoga,29,,87,81.0
2026-04-28,Rest,0,,0,
2026-04-29,Cycling,64,22.33,512,122.0
2026-04-30,Walk,78,6.81,312,92.0
2026-05-01,Walk,73,6.38,292,112.0
2026-05-02,Yoga,60,,180,83.0
2026-05-03,Strength,43,,258,139.0
2026-05-04,Strength,35,,210,126.0
2026-05-05,Walk,43,3.77,172,112.0
2026-05-06,Strength,32,,192,138.0
2026-05-07,Rest,0,,0,
2026-05-08,Strength,36,,216,111.0
2026-05-09,Run,23,4.04,230,150.0
2026-05-10,Strength,42,,252,130.0
2026-05-11,Yoga,31,,93,99.0
2026-05-12,Strength,30,,180,111.0
2026-05-13,Run,27,4.76,270,149.0
2026-05-14,Rest,0,,0,
2026-05-15,Rest,0,,0,
2026-05-16,Rest,0,,0,
2026-05-17,Walk,84,7.43,336,111.0
2026-05-18,Walk,85,7.53,340,113.0
2026-05-19,Yoga,41,,123,90.0
2026-05-20,Yoga,42,,126,81.0
2026-05-21,Walk,26,2.31,104,109.0
2026-05-22,Strength,35,,210,115.0
2026-05-23,Walk,28,2.49,112,91.0
2026-05-24,Walk,50,4.45,200,113.0
2026-05-25,Walk,58,5.16,232,99.0
2026-05-26,Yoga,32,,96,86.0
2026-05-27,Strength,46,,276,127.0
2026-05-28,Rest,0,,0,
2026-05-29,Run,44,7.86,440,150.0
2026-05-30,Rest,0,,0,
2026-05-31,Walk,57,5.1,228,114.0
2026-06-01,Strength,44,,264,127.0
2026-06-02,Walk,63,5.64,252,91.0
2026-06-03,Rest,0,,0,
2026-06-04,Run,39,7.0,390,168.0
2026-06-05,Walk,38,3.41,152,103.0
2026-06-06,Rest,0,,0,
2026-06-07,Strength,37,,222,134.0
2026-06-08,Strength,34,,204,123.0
2026-06-09,Rest,0,,0,
2026-06-10,Yoga,26,,78,105.0
2026-06-11,Walk,67,6.04,268,96.0
2026-06-12,Walk,33,2.98,132,90.0
2026-06-13,Yoga,42,,126,98.0
2026-06-14,Yoga,55,,165,91.0
2026-06-15,Rest,0,,0,
2026-06-16,Strength,44,,264,126.0
2026-06-17,Rest,0,,0,
2026-06-18,Rest,0,,0,
2026-06-19,Run,26,4.72,260,141.0
2026-06-20,Walk,69,6.27,276,109.0
2026-06-21,Rest,0,,0,
2026-06-22,Rest,0,,0,
2026-06-23,Run,24,4.37,240,159.0
2026-06-24,Rest,0,,0,
2026-06-25,Walk,25,2.28,100,105.0
2026-06-26,Run,25,4.56,250,142.0
2026-06-27,Rest,0,,0,
2026-06-28,Cycling,83,30.34,664,136.0
2026-06-29,Yoga,33,,99,97.0
2026-06-30,Run,30,5.49,300,141.0
2026-07-01,Run,48,8.79,480,151.0
2026-07-02,Strength,61,,366,135.0
2026-07-03,Strength,64,,384,111.0
2026-07-04,Run,58,10.65,580,146.0
2026-07-05,Walk,26,2.39,104,93.0
2026-07-06,Walk,87,8.0,348,111.0
2026-07-07,Strength,60,,360,138.0
2026-07-08,Rest,0,,0,
2026-07-09,Rest,0,,0,
2026-07-10,Strength,63,,378,120.0
2026-07-11,Walk,58,5.35,232,115.0
2026-07-12,Run,55,10.16,550,164.0
2026-07-13,Strength,70,,420,138.0
2026-07-14,Strength,42,,252,110.0
2026-07-15,Run,30,5.55,300,143.0
2026-07-16,Run,39,7.23,390,155.0
